Category,Name,Followers,Views,UserName,Gender,Gender_Perchantage
"Comedy, Celebrity Account, Vlog",Lukas Arnold (he/him),2M,266.3K,@lukastarnold,Female,62%
"Hair, Comedy, ",Mariam George,825.8K,529.4K,@themariamgeorge,Female,77%
"Comedy, , ",Joel M,12.9M,4.7M,@joelmagician,Female,56%
"Love & Dating, Comedy, Vlog",JAY,332.9K,936.5K,@jasonvrrt,Female,57%
"Comedy, , ",Jacob King,555.3K,1.3M,@jacob_t_king,Female,65%
"Comedy, Video Games, Vlog",Spacys,533.4K,1.6M,@spacysfn,Female,55%
"Comedy, Celebrity Account, Vlog",Dante,2.5M,1.2M,@dantefiorani,Female,79%
"Comedy, Vlog, ",Grandingo,345.3K,802.7K,@grandingo,Male,63%
"Dance, Vlog, ",Jessie✨,483K,1.4M,@grcjessicajane,Female,66%
"Dance, Comedy, Music",Manuel Mercuri,11.8M,7.3M,@mercuri_88,Male,60%
"Drama, Love & Dating, Comedy",user5603672364806,3.1M,2.1M,@nilunanimiel1,Female,74%
"Transition, Comedy, Vlog",Garrett Trzcinski,278.3K,28.8K,@garrett.ski,Female,68%
"Pop Culture, Comedy, +1",mo,852.4K,5.2M,@uhmoz,Female,67%
"Dance, Celebrity Account, +2",Josh Zilberberg,2M,3.7M,@josh.zilberberg,Female,87%
"Love & Dating, Comedy, Vlog",CS:GO Videos,871.1K,483.3K,@csgo.videoz,Male,70%
"Interviews, Comedy, Vlog",jayundaryapodcast,332.8K,986K,@jayundaryapodcast,Female,58%
"Comedy, , ",Simon Brea,142K,263.6K,@simon.brea,Male,58%
"Comedy, Video Games, Vlog",ItzMaxK,547K,184.6K,@itzmaxk,Male,63%
"Dance, Vlog, Cosplay",Kika Kim,10.1M,3.1M,@kikakiim,Female,75%
"Comedy, Vlog, ",Celinaspookyboo,20.1M,5.4M,@celinaspookyboo,Female,82%
"Comedy, Vlog, ",bentellect,7.6M,4M,@bentellect,Female,75%
"Drama, Dance, Vlog",Fero Fahima,6.2M,381.4K,@ferofero,Female,76%
